region_id,country_name,city_name,composition_plastic_percent
SSF,South Africa,BloemfonteinÂ ,17.7
SSF,South Africa,Durban,17.4
SSF,Zambia,NdolaÂ ,8.33
SSF,Zambia,Lusaka,7
SSF,Zimbabwe,Kadoma City,7
SSF,Zimbabwe,Mbare,11
SSF,Zimbabwe,Norton,9.1
SSF,Zimbabwe,Chinhoyi,8.6
SSF,Zimbabwe,HarareÂ ,18.1
SSF,Zimbabwe,Gweru,10.2
SSF,Zimbabwe,Kariba,11
SSF,Zimbabwe,Masvingo City,40
SSF,Zimbabwe,SakubvaÂ ,23
